Rk,G,Date,Home/Away,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OFG,OFGA,OFG%,O3P,O3PA,O3P%,OFT,OFTA,OFT%,OORB,OTRB,OAST,OSTL,OBLK,OTOV,OPF
11,11,11/10/18,@,SAS,L,89,96,30,90,0.333,9,41,0.22,20,29,0.69,15,49,11,10,5,8,24,33,74,0.446,10,20,0.5,20,27,0.741,8,46,17,3,5,15,20
12,12,11/11/18,,IND,W,115,103,36,74,0.486,20,47,0.426,23,32,0.719,8,38,18,6,5,15,22,36,78,0.462,11,29,0.379,20,26,0.769,5,35,24,10,6,13,22
13,13,11/13/18,@,DEN,W,109,99,39,71,0.549,13,37,0.351,18,26,0.692,6,32,23,7,6,14,20,38,76,0.5,11,25,0.44,12,16,0.75,7,31,27,11,2,16,20
14,14,11/15/18,,GSW,W,107,86,35,87,0.402,16,47,0.34,21,26,0.808,14,41,20,8,4,5,21,32,76,0.421,4,18,0.222,18,22,0.818,12,44,18,2,5,16,24
15,15,11/17/18,,SAC,W,132,112,46,81,0.568,20,47,0.426,20,24,0.833,6,41,27,9,10,22,20,46,102,0.451,11,35,0.314,9,12,0.75,13,39,23,10,3,14,21
16,16,11/21/18,,DET,W,126,124,40,72,0.556,13,33,0.394,33,36,0.917,5,36,18,8,7,15,25,40,85,0.471,16,34,0.471,28,37,0.757,15,37,20,8,1,16,26
17,17,11/23/18,@,DET,L,111,116,41,98,0.418,10,36,0.278,19,21,0.905,17,44,22,6,7,14,26,40,88,0.455,7,27,0.259,29,40,0.725,14,49,18,11,5,13,18
18,18,11/24/18,@,CLE,L,108,117,37,74,0.5,15,39,0.385,19,28,0.679,8,31,18,5,4,16,19,44,90,0.489,7,22,0.318,22,29,0.759,20,49,15,11,2,13,24
19,19,11/26/18,@,WAS,L,131,135,46,97,0.474,18,48,0.375,21,27,0.778,18,48,22,8,5,19,31,50,89,0.562,11,29,0.379,24,32,0.75,9,38,29,7,7,13,29
20,20,11/28/18,,DAL,L,108,128,40,87,0.46,13,45,0.289,15,23,0.652,15,38,28,10,5,16,26,46,85,0.541,17,34,0.5,19,24,0.792,10,37,27,10,7,14,17
21,21,11/30/18,@,SAS,W,136,105,49,98,0.5,22,54,0.407,16,20,0.8,13,49,32,9,6,5,22,39,86,0.453,10,28,0.357,17,20,0.85,9,41,24,4,4,13,18
22,22,12/1/18,,CHI,W,121,105,42,84,0.5,16,41,0.39,21,30,0.7,6,47,23,8,7,14,21,39,88,0.443,8,32,0.25,19,24,0.792,7,41,15,11,6,13,22
23,23,12/3/18,@,MIN,L,91,103,32,74,0.432,11,39,0.282,16,19,0.842,7,34,24,9,6,20,27,36,82,0.439,11,22,0.5,20,28,0.714,13,42,22,11,7,14,16
24,24,12/6/18,@,UTA,L,91,118,34,88,0.386,8,36,0.222,15,17,0.882,14,43,13,5,5,23,26,45,89,0.506,8,32,0.25,20,27,0.741,12,47,26,16,4,12,24
25,25,12/8/18,@,DAL,L,104,107,39,86,0.453,15,47,0.319,11,13,0.846,10,36,20,5,3,12,19,41,83,0.494,12,30,0.4,13,16,0.813,14,44,21,9,3,15,14
26,26,12/11/18,,POR,W,111,104,42,85,0.494,9,29,0.31,18,27,0.667,12,42,22,9,5,7,21,38,87,0.437,10,25,0.4,18,21,0.857,13,44,20,1,4,14,17
27,27,12/13/18,,LAL,W,126,111,42,85,0.494,15,34,0.441,27,32,0.844,15,43,24,8,2,13,24,43,80,0.538,10,32,0.313,15,27,0.556,7,31,23,9,5,12,21
28,28,12/15/18,@,MEM,W,105,97,35,73,0.479,13,37,0.351,22,25,0.88,6,36,23,5,2,12,22,40,75,0.533,5,23,0.217,12,17,0.706,6,35,20,8,6,14,22
29,29,12/17/18,,UTA,W,102,97,32,86,0.372,12,37,0.324,26,31,0.839,9,39,16,13,7,17,24,32,82,0.39,10,35,0.286,23,31,0.742,11,52,23,9,4,23,25
30,30,12/19/18,,WAS,W,136,118,47,85,0.553,26,55,0.473,16,21,0.762,8,41,30,8,2,15,21,45,84,0.536,10,30,0.333,18,23,0.783,4,31,28,8,2,11,15
31,31,12/20/18,@,MIA,L,99,101,29,82,0.354,18,54,0.333,23,30,0.767,8,41,20,6,3,8,23,36,93,0.387,9,39,0.231,20,34,0.588,20,61,22,6,4,9,18
32,32,12/22/18,,SAS,W,108,101,37,95,0.389,19,54,0.352,15,21,0.714,19,58,22,4,3,9,18,42,88,0.477,10,24,0.417,7,11,0.636,5,43,24,3,9,9,17
